SampleGeneratedData,,,,,,,,,,,,,,,,,
SerialNumber,Test Pass/Fail Status,errCode,TesterID,timeStamp,SOCKET,Vf_LED0_10mA_V,Vf_LED0_20mA_V,Vf_LED1_20mA_V,Vf_LED2_20mA_V,LED0_Ir_20mA_nA,Vj_LED0_20mA_V,NearFieldTest_LED0_5mA_nA,NearFieldTest_LED0_20mA_nA,NearFieldTest_LED1_20mA_nA,NearFieldTest_LED2_Near_20mA_nA,FarFieldTest_LED1_20mA_nA,FarFieldTest_LED2_20mA_nA
22AS5490KGF316NBP,PASS,0,A1_golden,660878677.9,A1,0.5756,0.9061,1.2073,0.4381,-0.0402,0.7783,59.964,143.4269,276.7097,170.2608,194.2889,106.7698
12DK0GAP25NK4Q936,PASS,0,A1_golden,660878751.2,A1,0.5758,0.9053,1.2157,0.4384,-0.036,0.7777,59.7645,143.8036,282.4942,171.4901,198.1487,108.904
12DK0GAP25NK4Q936,PASS,0,A1_golden,660878809.1,A1,0.5756,0.905,1.216,0.4383,-0.0308,0.7776,60.2468,143.7708,283.0038,172.1727,198.3219,108.9231
12DK0GAP25NK4Q936,PASS,0,A1_golden,660878867.6,A1,0.5756,0.9052,1.217,0.4383,-0.0291,0.7779,59.7475,143.4378,282.5451,171.6281,198.1116,108.8148
NPT9Q2A643G155K02,PASS,0,A1_golden,660878940.6,A1,0.5764,0.9053,1.2171,0.439,-0.0237,0.7764,60.5315,144.8604,285.9342,173.7171,200.3507,110.3756
NPT9Q2A643G155K02,PASS,0,A1_golden,660878999.1,A1,0.5763,0.9049,1.2171,0.439,-0.0378,0.7775,60.2908,144.8091,286.0617,173.5128,200.2889,110.3119
NPT9Q2A643G155K02,PASS,0,A1_golden,660879057.5,A1,0.5763,0.9045,1.2207,0.439,-0.0325,0.7793,60.1656,144.4883,285.8833,173.2332,200.2394,110.4074
3Z609GPQ5A4K1N22Z,PASS,0,A1_golden,660879130.3,A1,0.5776,0.9059,1.2213,0.4401,-0.0356,0.7791,59.8372,143.4842,293.0437,172.5056,204.5817,112.8027
3Z609GPQ5A4K1N22Z,PASS,0,A1_golden,660879188.8,A1,0.5775,0.9057,1.2233,0.44,-0.0377,0.7775,59.8348,143.4776,292.9418,172.3481,204.2724,112.7072
3Z609GPQ5A4K1N22Z,PASS,0,A1_golden,660879246.6,A1,0.5775,0.906,1.222,0.44,-0.0285,0.7777,59.862,143.445,293.0437,172.1744,204.5569,112.8664
8N1G9PA3Z6220MK54,PASS,0,A1_golden,660879319.4,A1,0.5761,0.9035,1.2096,0.4382,-0.044,0.7765,59.1066,142.453,274.8495,168.9773,193.8311,106.2538
8N1G9PA3Z6220MK54,PASS,0,A1_golden,660879378.2,A1,0.576,0.9035,1.2102,0.4381,-0.0309,0.7776,58.8731,142.4685,275.4356,169.1339,193.8188,106.4895
8N1G9PA3Z6220MK54,PASS,0,A1_golden,660879436.1,A1,0.5759,0.9036,1.21,0.4381,-0.0256,0.7774,58.8408,142.2878,274.875,168.7748,193.5713,106.4832
A3P15NV29P04G26K6,PASS,0,A1_golden,660879511.1,A1,0.5767,0.9054,1.2086,0.4391,-0.0443,0.7769,58.1775,138.6719,276.3785,165.9531,194.326,106.9419
A3P15NV29P04G26K6,PASS,0,A1_golden,660879569,A1,0.5765,0.9051,1.2103,0.439,-0.0459,0.7792,58.503,139.0202,276.302,166.2073,194.2146,106.6743
A3P15NV29P04G26K6,PASS,0,A1_golden,660879626.8,A1,0.5765,0.9052,1.2105,0.439,-0.0254,0.7791,58.0011,138.8651,276.7862,165.9228,194.2518,106.5915
3E12M695ANPP4K02G,PASS,0,A1_golden,660879700.1,A1,0.5768,0.9056,1.2097,0.4391,-0.0256,0.7786,59.8166,144.0909,284.915,172.2557,199.1878,110.28
3E12M695ANPP4K02G,PASS,0,A1_golden,660879757.6,A1,0.5766,0.9052,1.2123,0.439,-0.0273,0.7776,60.1239,143.6283,284.7621,172.2282,199.2002,110.0889
3E12M695ANPP4K02G,PASS,0,A1_golden,660879815.8,A1,0.5766,0.9051,1.2114,0.439,-0.0263,0.7756,59.7128,143.8886,285.2717,171.7202,199.1136,110.2482
43125AQ9NK68QP20G,PASS,0,A1_golden,660879889.2,A1,0.5773,0.9042,1.2114,0.4404,-0.0347,0.7788,58.4625,138.7435,271.6643,168.4631,191.2579,104.9288
43125AQ9NK68QP20G,PASS,0,A1_golden,660879947.8,A1,0.5772,0.9041,1.2111,0.4403,-0.0319,0.7776,58.4853,138.6171,271.0272,167.3763,191.2703,104.9543
43125AQ9NK68QP20G,PASS,0,A1_golden,660880006.5,A1,0.5772,0.9042,1.2117,0.4402,-0.0341,0.776,58.6847,138.8074,271.1292,168.4858,191.3322,104.8332
5NN41N3G26029PGKA,PASS,0,A1_golden,660880080.3,A1,0.5757,0.9054,1.2091,0.438,-0.0304,0.7794,59.3617,142.9565,282.0355,170.6588,196.7136,108.681
5NN41N3G26029PGKA,PASS,0,A1_golden,660880138.3,A1,0.5756,0.9054,1.2102,0.4379,-0.041,0.7782,59.4807,143.2958,281.4494,170.3963,196.5775,108.4453
5NN41N3G26029PGKA,PASS,0,A1_golden,660880196.2,A1,0.5755,0.9056,1.2073,0.4379,-0.0399,0.7774,59.215,143.1331,281.9081,170.7981,196.7631,108.5345
34K2G6N6912P39N50,PASS,0,A1_golden,660880270,A1,0.5772,0.9114,1.2089,0.4399,-0.0325,0.7789,60.1455,143.2373,273.2442,171.7021,191.9755,105.4894
34K2G6N6912P39N50,PASS,0,A1_golden,660880327.4,A1,0.5771,0.9116,1.2124,0.4399,-0.0299,0.7784,60.0732,143.4873,272.7855,171.6385,192.0621,105.5149
34K2G6N6912P39N50,PASS,0,A1_golden,660880386,A1,0.5771,0.9114,1.2106,0.4398,-0.0282,0.7777,59.6162,143.4645,273.448,171.5293,191.8023,105.1517
9PS2G257K309416NQ,PASS,0,A1_golden,660880459.1,A1,0.5762,0.9112,1.2085,0.4387,-0.0333,0.7784,59.4561,142.1267,272.5562,169.8604,191.5672,105.1008
9PS2G257K309416NQ,PASS,0,A1_golden,660880517.7,A1,0.576,0.911,1.2086,0.4386,-0.0248,0.7782,59.2377,141.8026,272.6836,169.0443,191.7899,105.0498
9PS2G257K309416NQ,PASS,0,A1_golden,660880575.8,A1,0.576,0.9108,1.2108,0.4386,-0.0261,0.7796,59.5478,142.303,272.9894,169.2801,191.6414,105.0562
123924PK5946T0YNG,PASS,0,A1_golden,660880649,A1,0.5775,0.9267,1.2153,0.4403,-0.0308,0.7783,60.8454,145.9996,282.2393,174.178,198.359,108.56
123924PK5946T0YNG,PASS,0,A1_golden,660880707.3,A1,0.5774,0.9264,1.216,0.4402,-0.0283,0.778,60.9728,146.0318,282.4687,173.9298,198.359,108.6173
123924PK5946T0YNG,PASS,0,A1_golden,660880766.2,A1,0.5773,0.9263,1.2151,0.4402,-0.0528,0.7773,60.6409,146.0061,282.4432,174.1766,198.359,108.8275
2G6297DNU034P5K1A,PASS,0,A1_golden,660880839.6,A1,0.5759,0.9069,1.2122,0.4383,-0.0324,0.7775,60.5828,144.8833,282.1119,173.001,196.9734,108.4453
2G6297DNU034P5K1A,PASS,0,A1_golden,660880897.8,A1,0.5758,0.9068,1.2087,0.4382,-0.0434,0.7783,60.3817,145.0225,282.1119,172.5894,196.7012,108.3434
2G6297DNU034P5K1A,PASS,0,A1_golden,660880956,A1,0.5758,0.9068,1.2122,0.4382,-0.037,0.7787,59.9443,144.6076,281.8571,172.4489,196.2435,108.4963
1S6A302K3P9NP425G,PASS,0,A1_golden,660881029,A1,0.576,0.9047,1.2103,0.4382,-0.0182,0.7784,58.0503,138.0173,275.0534,166.1767,194.3384,105.9926
1S6A302K3P9NP425G,PASS,0,A1_golden,660881087.2,A1,0.5759,0.9045,1.2097,0.4382,-0.0393,0.7785,57.9027,138.0527,275.1298,165.9474,194.0538,105.9353
1S6A302K3P9NP425G,PASS,0,A1_golden,660881145.6,A1,0.5759,0.9043,1.2084,0.4381,-0.0309,0.7774,58.1927,138.2222,275.3337,166.0425,194.0538,105.6232
9G459BB562K3PN201,PASS,0,A1_golden,660881218.4,A1,0.5769,0.9229,1.2206,0.4392,-0.0339,0.7793,60.1004,145.3435,285.0169,172.7025,199.1631,109.2289
9G459BB562K3PN201,PASS,0,A1_golden,660881276.1,A1,0.5768,0.923,1.2211,0.4391,-0.0286,0.7798,60.3756,145.1964,284.9659,171.7772,199.4971,109.4709
9G459BB562K3PN201,PASS,0,A1_golden,660881334.3,A1,0.5768,0.9228,1.2226,0.4391,-0.0323,0.7793,60.2345,145.3624,284.864,172.7725,199.1755,109.6302
3K4PNU2B105AG9962,PASS,0,A1_golden,660881409.3,A1,0.5759,0.9072,1.2122,0.4384,-0.0387,0.7797,60.7354,145.3777,280.8633,174.1716,196.2435,108.044
3K4PNU2B105AG9962,PASS,0,A1_golden,660881467.8,A1,0.5757,0.9063,1.2115,0.4383,-0.0328,0.7792,60.613,145.5587,280.7359,174.2545,195.86,108.1013
3K4PNU2B105AG9962,PASS,0,A1_golden,660881525.2,A1,0.5756,0.9068,1.2144,0.4383,-0.044,0.7785,60.5909,145.4767,280.9907,174.8017,195.9466,107.9357
13N605P2G73K99492,PASS,0,A1_golden,660881598.5,A1,0.5761,0.9242,1.209,0.4388,-0.0377,0.7769,60.8602,145.6059,287.3612,174.1371,200.5116,110.2991
13N605P2G73K99492,PASS,0,A1_golden,660881656.3,A1,0.576,0.9239,1.2098,0.4388,-0.0352,0.7787,60.5719,146.0087,287.3358,174.0576,200.2518,110.4456
13N605P2G73K99492,PASS,0,A1_golden,660881714.3,A1,0.576,0.924,1.2103,0.4388,-0.0316,0.7786,60.677,145.745,287.1064,173.7077,200.2641,110.4393
N95K2G13294PAJ6P0,PASS,0,A1_golden,660881787.8,A1,0.5764,0.9178,1.213,0.4388,-0.0384,0.7801,60.5003,145.7848,277.3978,173.2125,194.8951,106.9164
N95K2G13294PAJ6P0,PASS,0,A1_golden,660881846.6,A1,0.5763,0.9175,1.2127,0.4387,-0.0223,0.7793,60.3723,145.683,277.8055,173.6654,194.9445,106.8208
N95K2G13294PAJ6P0,PASS,0,A1_golden,660881904.3,A1,0.5762,0.9177,1.2132,0.4387,-0.037,0.7793,60.5737,146.0909,277.1939,173.6557,194.7219,106.859
01223G2PN8K469995,PASS,0,A1_golden,660881977.1,A1,0.5774,0.932,1.2114,0.44,-0.036,0.777,60.5703,145.3882,279.0541,173.0001,195.3033,107.3177
01223G2PN8K469995,PASS,0,A1_golden,660882034.8,A1,0.5773,0.9319,1.2111,0.44,-0.0251,0.7784,60.5899,145.4176,278.8247,172.663,195.427,107.3305
01223G2PN8K469995,PASS,0,A1_golden,660882093.5,A1,0.5772,0.9321,1.2092,0.44,-0.04,0.7771,60.9904,145.3345,278.5444,173.2522,195.4394,107.4833
19NL3695GKZP40226,PASS,0,A1_golden,660882166.7,A1,0.5758,0.9187,1.2119,0.4384,-0.047,0.7783,60.6441,146.5841,288.1002,174.3998,200.7714,110.5412
19NL3695GKZP40226,PASS,0,A1_golden,660882224.6,A1,0.5757,0.9185,1.2102,0.4384,-0.0381,0.7771,61.0937,146.3901,288.3296,174.3901,201.093,110.7642
19NL3695GKZP40226,PASS,0,A1_golden,660882283.2,A1,0.5757,0.9186,1.2115,0.4383,-0.0327,0.7766,60.8545,146.1461,288.5334,174.64,201.1549,110.5348
K426GN923MA01XPA5,PASS,0,A1_golden,660882356.3,A1,0.5761,0.9045,1.2081,0.4384,-0.0422,0.7768,59.3482,143.1363,267.6126,170.5112,188.5487,103.6993
K426GN923MA01XPA5,PASS,0,A1_golden,660882414,A1,0.576,0.9042,1.2074,0.4384,-0.0416,0.7778,59.061,142.8006,267.6636,170.5029,188.6476,103.3744
K426GN923MA01XPA5,PASS,0,A1_golden,660882472.3,A1,0.576,0.9045,1.2065,0.4383,-0.0373,0.7779,59.3268,143.0118,267.154,170.1084,188.4249,103.5336
G2136954K4N8029PX,PASS,0,A1_golden,660882545.7,A1,0.5771,0.9112,1.2073,0.4396,-0.037,0.7783,59.1884,143.0161,274.4418,170.0245,191.5425,105.1772
G2136954K4N8029PX,PASS,0,A1_golden,660882604.7,A1,0.577,0.9108,1.2073,0.4395,-0.0276,0.7787,59.287,142.2884,274.6967,169.8006,191.493,105.4257
G2136954K4N8029PX,PASS,0,A1_golden,660882662.1,A1,0.577,0.9107,1.2097,0.4395,-0.0329,0.7793,58.931,142.5052,274.238,169.4313,191.2951,105.0562
25A6G2K94143NU0PG,PASS,0,A1_golden,660882735.7,A1,0.5759,0.9082,1.2121,0.4384,-0.0339,0.7792,60.0197,144.0231,278.2132,171.6782,195.2662,107.4005
25A6G2K94143NU0PG,PASS,0,A1_golden,660882793.7,A1,0.5758,0.9085,1.2109,0.4384,-0.0293,0.7766,59.9785,144.3769,277.729,171.3421,195.0683,107.4642
25A6G2K94143NU0PG,PASS,0,A1_golden,660882851.7,A1,0.5758,0.9083,1.2114,0.4383,-0.0458,0.7791,59.8443,143.9446,278.2387,171.3076,194.9569,107.3113
Q2NXA93162PK50G41,PASS,0,A1_golden,660882925.1,A1,0.5765,0.9051,1.2085,0.4391,-0.0366,0.7779,58.0095,138.702,270.9763,165.6814,191.6291,104.7568
Q2NXA93162PK50G41,PASS,0,A1_golden,660882982.7,A1,0.5763,0.9049,1.2082,0.439,-0.0334,0.7775,58.2814,138.4393,271.1546,165.797,191.7652,104.6739
Q2NXA93162PK50G41,PASS,0,A1_golden,660883040.9,A1,0.5763,0.9047,1.2088,0.439,-0.0465,0.7794,57.7802,138.189,270.7979,165.4761,191.6167,104.8905
KP362020AG5914TNP,PASS,0,A1_golden,660883113.8,A1,0.5772,0.9059,1.2086,0.4396,-0.0477,0.7785,59.2549,142.0349,280.8378,170.5252,196.0951,108.114
KP362020AG5914TNP,PASS,0,A1_golden,660883172.2,A1,0.5771,0.9056,1.2114,0.4395,-0.0361,0.7773,59.3871,142.2988,281.2965,170.8635,196.2064,108.0057
KP362020AG5914TNP,PASS,0,A1_golden,660883230.2,A1,0.5771,0.9053,1.2089,0.4395,-0.0425,0.7779,59.7335,142.0666,280.532,170.2884,196.1817,108.1013
FS2N5012BG943AP6K,PASS,0,A1_golden,660883306,A1,0.5759,0.9073,1.2091,0.4382,-0.0291,0.777,59.7223,142.9402,283.488,170.4268,197.9384,108.9358
FS2N5012BG943AP6K,PASS,0,A1_golden,660883364.2,A1,0.5758,0.9081,1.2091,0.4382,-0.0235,0.7778,59.583,142.9814,283.0038,170.4994,197.8889,108.8594
FS2N5012BG943AP6K,PASS,0,A1_golden,660883422.7,A1,0.5758,0.9076,1.2115,0.4381,-0.0275,0.7781,59.2772,142.4732,282.9274,169.7443,197.7404,109.0441
N9K8P212046BG9536,PASS,0,A1_golden,660883495.9,A1,0.5761,0.9197,1.2104,0.4385,-0.0379,0.7769,61.8492,148.3618,283.9721,177.0339,198.0868,109.0951
N9K8P212046BG9536,PASS,0,A1_golden,660883554,A1,0.576,0.9195,1.2117,0.4384,-0.0393,0.7792,61.3849,148.1294,283.7428,176.774,198.2724,109.0378
N9K8P212046BG9536,PASS,0,A1_golden,660883612.6,A1,0.576,0.9191,1.2109,0.4384,-0.0411,0.779,61.7686,148.2647,283.6154,176.9388,198.1858,108.904
9N6A701KG221Y54P3,PASS,0,A1_golden,660806577.1,A1,0.5773,0.9092,1.2107,0.4395,-0.0356,0.7794,60.4078,145.7283,277.8309,173.4303,195.7363,107.6171
9N6A701KG221Y54P3,PASS,0,A1_golden,660806634.9,A1,0.5766,0.9087,1.2117,0.439,-0.0404,0.7801,60.6056,145.7658,278.417,174.2558,195.6497,107.6299
9N6A701KG221Y54P3,PASS,0,A1_golden,660806692.6,A1,0.5764,0.9084,1.2115,0.4388,-0.0357,0.7782,60.5116,145.4111,278.417,173.9149,195.5136,107.6872
4N1PAK693U22WG50L,PASS,0,A1_golden,660806765.8,A1,0.5775,0.9083,1.212,0.4403,-0.0288,0.778,59.9817,143.7402,279.0541,170.7935,195.7239,107.8656
4N1PAK693U22WG50L,PASS,0,A1_golden,660806824.2,A1,0.5773,0.9082,1.2115,0.4401,-0.0228,0.7785,59.8139,143.6058,278.8247,170.9141,195.6621,107.8465
4N1PAK693U22WG50L,PASS,0,A1_golden,660806882.7,A1,0.5772,0.9077,1.2113,0.4401,-0.0247,0.7791,59.6301,143.9572,278.6209,171.6241,195.4765,107.6299
A2NQ619FP03425HKG,PASS,0,A1_golden,660806955.7,A1,0.5761,0.9048,1.2169,0.4385,-0.0388,0.7787,58.8874,141.42,278.9522,169.2734,196.9858,107.2922
A2NQ619FP03425HKG,PASS,0,A1_golden,660807013.7,A1,0.5759,0.9047,1.2166,0.4384,-0.0195,0.7779,59.0893,141.4354,278.9267,169.4201,196.961,107.7382
A2NQ619FP03425HKG,PASS,0,A1_golden,660807072.1,A1,0.5759,0.9047,1.2165,0.4384,-0.0478,0.778,59.0352,141.5789,278.9012,169.6929,196.7631,107.7063
092A71A26G5K4NPV3,PASS,0,A1_golden,660807147.4,A1,0.5764,0.9073,1.2157,0.4388,-0.0319,0.778,59.4339,142.5232,270.645,170.3,191.2456,104.572
092A71A26G5K4NPV3,PASS,0,A1_golden,660807205.9,A1,0.5762,0.9069,1.2146,0.4387,-0.0265,0.7781,60.117,142.4902,270.696,170.414,191.394,104.7185
092A71A26G5K4NPV3,PASS,0,A1_golden,660807263.3,A1,0.5762,0.9069,1.215,0.4387,-0.0352,0.7783,59.7551,142.6748,271.0018,170.432,191.2579,104.9734
PKS22NWG3951A4W60,PASS,0,A1_golden,660807336,A1,0.5774,0.906,1.2112,0.4403,-0.0386,0.7785,59.5076,142.502,277.4742,170.0024,194.7466,107.2922
PKS22NWG3951A4W60,PASS,0,A1_golden,660807393.9,A1,0.5773,0.9058,1.2113,0.4403,-0.035,0.7778,59.6227,142.4815,277.3723,169.4958,194.8456,107.0629
PKS22NWG3951A4W60,PASS,0,A1_golden,660807452.4,A1,0.5773,0.9059,1.2105,0.4402,-0.0283,0.7789,59.2144,142.3871,277.3468,169.372,194.6724,107.3305
1N52N94Y0PK26H3G9,PASS,0,A1_golden,660807525.8,A1,0.5767,0.9075,1.2108,0.4391,-0.0227,0.7784,60.0547,143.9771,284.2015,172.3633,197.5672,108.7447
1N52N94Y0PK26H3G9,PASS,0,A1_golden,660807584,A1,0.5766,0.9074,1.2105,0.439,-0.0335,0.7779,60.4973,144.2089,283.8447,172.3423,197.9755,108.5154
1N52N94Y0PK26H3G9,PASS,0,A1_golden,660807641.6,A1,0.5766,0.9071,1.2118,0.439,-0.0408,0.7801,59.865,144.1968,284.2779,172.5733,197.3445,108.5791
4GM9462P4N509K312,PASS,0,A1_golden,660807714.7,A1,0.5761,0.9158,1.2132,0.4386,-0.0386,0.7785,60.8519,147.0313,283.1567,175.9349,197.3445,108.6746
4GM9462P4N509K312,PASS,0,A1_golden,660807773.1,A1,0.576,0.9158,1.2121,0.4385,-0.0344,0.7788,61.3554,147.1708,282.5451,175.3413,197.493,108.7702
4GM9462P4N509K312,PASS,0,A1_golden,660807831.5,A1,0.576,0.9154,1.2129,0.4385,-0.038,0.7774,60.7859,146.9055,282.9019,175.4896,197.6043,108.6874
1N70EN2G69295K3P4,PASS,0,A1_golden,660807904.8,A1,0.5777,0.9106,1.2121,0.4403,-0.0306,0.7797,59.2787,140.968,284.5582,168.545,198.1487,108.8849
1N70EN2G69295K3P4,PASS,0,A1_golden,660807963.8,A1,0.5775,0.9105,1.2117,0.4402,-0.0422,0.7784,58.9859,140.7813,284.0486,168.5171,198.2105,108.5345
1N70EN2G69295K3P4,PASS,0,A1_golden,660808021.8,A1,0.5775,0.9104,1.2121,0.4402,-0.0314,0.777,58.6549,141.1788,284.5837,168.844,197.9012,108.6046
1240K02693PC591NG,PASS,0,C1,664024798.7,C1,0.5771,0.9306,1.2072,0.4392,-0.0397,0.7799,62.5036,148.3944,284.3544,177.2867,199.1878,110.1908
1240K02693PC591NG,PASS,0,C1,664024885,C1,0.5767,0.9303,1.2071,0.439,-0.0314,0.7778,62.4702,148.1551,284.6347,177.5082,199.1755,110.0061
1240K02693PC591NG,PASS,0,C1,664024971.2,C1,0.5766,0.9291,1.2071,0.4389,-0.0399,0.778,62.3361,148.0266,284.3798,177.2444,199.4476,110.0252
1240K02693PC591NG,PASS,0,C1,664025057.8,C1,0.5766,0.9305,1.2071,0.4388,-0.0313,0.7794,62.5857,147.9777,284.6347,177.0798,199.3487,109.987
1240K02693PC591NG,PASS,0,C1,664025144.5,C1,0.5766,0.9302,1.2068,0.4388,-0.0353,0.7788,62.7369,147.7745,284.4563,177.1138,199.2992,110.6113
02NUAW23K15P9G6L4,PASS,0,C1,664025629.2,C1,0.5772,0.9138,1.2062,0.4397,-0.0372,0.7799,61.9473,148.0272,281.322,176.4413,196.528,108.7511
02NUAW23K15P9G6L4,PASS,0,C1,664025715.4,C1,0.5771,0.9137,1.2063,0.4396,-0.0489,0.7784,62.0909,148.0909,281.5768,176.4109,196.2064,108.286
02NUAW23K15P9G6L4,PASS,0,C1,664025801.9,C1,0.577,0.9136,1.2061,0.4395,-0.0331,0.7778,61.7755,147.7425,281.4494,176.4996,196.1569,108.7065
02NUAW23K15P9G6L4,PASS,0,C1,664025888.3,C1,0.577,0.9133,1.2058,0.4395,-0.019,0.7794,61.3579,147.5757,281.4239,176.4152,196.0579,108.4644
02NUAW23K15P9G6L4,PASS,0,C1,664025974.6,C1,0.577,0.9138,1.2058,0.4395,-0.0405,0.7781,61.9051,147.7987,281.4239,176.501,195.9961,108.853
452NP3K9G5A2W0196,PASS,0,C1,664026574.1,C1,0.5758,0.9132,1.2059,0.4383,-0.0394,0.7784,62.6498,150.3508,287.4886,177.7944,199.6208,110.159
452NP3K9G5A2W0196,PASS,0,C1,664026661.4,C1,0.5757,0.9133,1.206,0.4382,-0.0309,0.7779,62.9027,149.2038,287.4377,178.592,199.6208,110.5348
452NP3K9G5A2W0196,PASS,0,C1,664026748.4,C1,0.5757,0.9131,1.206,0.4382,-0.044,0.7793,62.6842,149.6697,287.6161,178.6187,199.6332,110.4265
452NP3K9G5A2W0196,PASS,0,C1,664026835.3,C1,0.5757,0.9132,1.2061,0.4382,-0.0301,0.777,63.4062,149.6368,287.5651,179.0505,200.2146,110.452
452NP3K9G5A2W0196,PASS,0,C1,664026922.6,C1,0.5757,0.9133,1.2059,0.4382,-0.0341,0.7803,62.6474,149.4703,287.2338,178.4057,199.6703,110.4329
N23KG99542X7P16B0,PASS,0,C1,664027322,C1,0.5764,0.9275,1.2073,0.4388,-0.0399,0.7781,61.9738,148.3664,288.3805,177.8567,200.9693,111.191
N23KG99542X7P16B0,PASS,0,C1,664027408.5,C1,0.5763,0.9275,1.2073,0.4387,-0.0309,0.7774,62.2826,148.2556,288.406,177.5126,200.9693,110.9043
N23KG99542X7P16B0,PASS,0,C1,664027495.4,C1,0.5762,0.9275,1.2073,0.4386,-0.0338,0.7768,61.9686,148.0405,288.2531,176.8133,200.4744,110.7132
N23KG99542X7P16B0,PASS,0,C1,664027582.3,C1,0.5762,0.9278,1.2071,0.4386,-0.0332,0.7785,62.6149,148.1846,288.355,177.7728,200.8456,110.9808
N23KG99542X7P16B0,PASS,0,C1,664027669.8,C1,0.5762,0.9279,1.2072,0.4386,-0.0369,0.7775,62.1153,148.4839,288.2786,177.6095,201.0435,110.5667
KA4G561N30PWY2G92,PASS,0,C1,664028152.9,C1,0.5774,0.9136,1.2062,0.4402,-0.0305,0.778,61.8288,147.5041,284.2524,175.9594,197.7157,109.4582
KA4G561N30PWY2G92,PASS,0,C1,664028239.6,C1,0.5773,0.9137,1.2059,0.4401,-0.0388,0.778,61.3372,146.8832,284.0741,175.611,197.5054,109.3881
KA4G561N30PWY2G92,PASS,0,C1,664028326.2,C1,0.5773,0.9133,1.2058,0.44,-0.0248,0.7766,61.8341,146.9079,284.125,176.159,197.5672,109.4518
KA4G561N30PWY2G92,PASS,0,C1,664028412.6,C1,0.5773,0.9136,1.206,0.44,-0.0308,0.7785,61.6091,146.6205,284.0741,175.1915,197.5796,109.1906
KA4G561N30PWY2G92,PASS,0,C1,664028498.6,C1,0.5772,0.9134,1.206,0.44,-0.0273,0.7794,61.1972,146.8454,284.2524,175.7535,197.493,109.42
215N1P4G0A6K39XA2,PASS,0,C1,664028985.1,C1,0.5758,0.9127,1.2059,0.4381,-0.0398,0.7772,61.4919,146.2428,287.2338,174.4238,200.6229,111.5223
215N1P4G0A6K39XA2,PASS,0,C1,664029072.1,C1,0.5757,0.9126,1.206,0.438,-0.0337,0.7778,61.5274,145.9308,287.4377,174.2235,200.6971,110.8342
215N1P4G0A6K39XA2,PASS,0,C1,664029158.6,C1,0.5757,0.9126,1.2058,0.438,-0.0487,0.7773,61.4097,146.0666,287.0045,174.2986,200.66,110.7769
215N1P4G0A6K39XA2,PASS,0,C1,664029245,C1,0.5756,0.9127,1.2058,0.438,-0.028,0.7788,61.6874,146.4519,286.8006,174.0879,201.3033,110.5412
215N1P4G0A6K39XA2,PASS,0,C1,664029331.7,C1,0.5756,0.9126,1.2058,0.438,-0.0272,0.7777,61.4547,145.8281,287.4886,174.5148,200.66,110.796
23G6A5G1NKW9402PY,PASS,0,C1,664029902.3,C1,0.5757,0.9138,1.2059,0.4381,-0.0508,0.7782,61.6288,146.5835,281.0927,174.9546,196.4291,108.3306
23G6A5G1NKW9402PY,PASS,0,C1,664029989.1,C1,0.5756,0.9136,1.2057,0.438,-0.0433,0.7769,61.5465,146.4433,281.4239,175.1497,196.4167,108.216
23G6A5G1NKW9402PY,PASS,0,C1,664030075.2,C1,0.5755,0.9137,1.2057,0.438,-0.0356,0.7789,61.8165,146.4855,281.1181,175.58,196.528,108.458
23G6A5G1NKW9402PY,PASS,0,C1,664030161.2,C1,0.5755,0.9138,1.2088,0.438,-0.0348,0.7789,61.7093,146.7357,281.5768,175.3008,196.7631,108.3752
23G6A5G1NKW9402PY,PASS,0,C1,664030248,C1,0.5755,0.9137,1.2056,0.438,-0.0317,0.7778,61.896,146.4866,280.9398,175.3537,196.5528,108.5791
CN396AK4251G0PW22,PASS,0,C1,664031112.3,C1,0.5757,0.9139,1.2056,0.4383,-0.0394,0.7766,62.2125,148.8607,283.488,178.0216,197.493,108.9804
CN396AK4251G0PW22,PASS,0,C1,664031199.2,C1,0.5756,0.9137,1.2056,0.4382,-0.0386,0.7802,62.1898,148.5508,283.2586,177.4529,197.8023,109.2607
CN396AK4251G0PW22,PASS,0,C1,664031286.8,C1,0.5756,0.9137,1.2055,0.4382,-0.0383,0.7774,62.9503,148.966,283.2586,178.1896,197.9755,108.7447
CN396AK4251G0PW22,PASS,0,C1,664031373.9,C1,0.5756,0.9146,1.2054,0.4382,-0.0273,0.7769,62.3755,148.9883,283.0293,177.7041,197.5672,108.9995
CN396AK4251G0PW22,PASS,0,C1,664031460.3,C1,0.5756,0.9136,1.2055,0.4382,-0.0353,0.779,62.2604,148.8452,283.5389,177.9159,197.1961,108.9932
N23KG99542X7P16B0,PASS,0,C4,664024798.7,C4,0.5771,0.9226,1.2141,0.4392,-0.0489,0.7777,58.1557,147.606,293.6174,175.8355,197.0524,111.3749
N23KG99542X7P16B0,PASS,0,C4,664024884.9,C4,0.5767,0.9244,1.2203,0.439,-0.0606,0.7796,58.1764,147.0383,294.1937,177.1364,197.2121,111.1244
N23KG99542X7P16B0,PASS,0,C4,664024971.2,C4,0.5766,0.9237,1.2205,0.4389,-0.0559,0.7783,58.6294,147.458,294.1686,177.0416,197.4947,111.1432
N23KG99542X7P16B0,PASS,0,C4,664025057.8,C4,0.5766,0.924,1.2177,0.4389,-0.038,0.778,58.3266,147.3459,293.8179,177.0082,197.0278,111.2121
